name,latency,throughput(ipc),throughput(cpi)
vabsd_b,2.00,2.00,0.50
vabsd_bu,2.00,2.00,0.50
vabsd_d,2.00,2.00,0.50
vabsd_du,2.00,2.00,0.50
vabsd_h,2.00,2.00,0.50
vabsd_hu,2.00,2.00,0.50
vabsd_w,2.00,2.00,0.50
vabsd_wu,2.00,2.00,0.50
vadd_b,1.00,2.00,0.50
vadd_d,1.00,2.00,0.50
vadd_h,1.00,2.00,0.50
vadd_q,3.00,2.00,0.50
vadd_w,1.00,2.00,0.50
vadda_b,3.00,2.00,0.50
vadda_d,3.00,2.00,0.50
vadda_h,3.00,2.00,0.50
vadda_w,3.00,2.00,0.50
vaddi_bu,1.00,2.00,0.50
vaddi_du,1.00,2.00,0.50
vaddi_hu,1.00,2.00,0.50
vaddi_wu,1.00,2.00,0.50
vaddwev_d_w,2.00,2.00,0.50
vaddwev_d_wu,2.00,2.00,0.50
vaddwev_d_wu_w,2.00,2.00,0.50
vaddwev_h_b,2.00,2.00,0.50
vaddwev_h_bu,2.00,2.00,0.50
vaddwev_h_bu_b,2.00,2.00,0.50
vaddwev_q_d,3.00,2.00,0.50
vaddwev_q_du,3.00,2.00,0.50
vaddwev_q_du_d,3.00,2.00,0.50
vaddwev_w_h,2.00,2.00,0.50
vaddwev_w_hu,2.00,2.00,0.50
vaddwev_w_hu_h,2.00,2.00,0.50
vaddwod_d_w,2.00,2.00,0.50
vaddwod_d_wu,2.00,2.00,0.50
vaddwod_d_wu_w,2.00,2.00,0.50
vaddwod_h_b,2.00,2.00,0.50
vaddwod_h_bu,2.00,2.00,0.50
vaddwod_h_bu_b,2.00,2.00,0.50
vaddwod_q_d,3.00,2.00,0.50
vaddwod_q_du,3.00,2.00,0.50
vaddwod_q_du_d,3.00,2.00,0.50
vaddwod_w_h,2.00,2.00,0.50
vaddwod_w_hu,2.00,2.00,0.50
vaddwod_w_hu_h,2.00,2.00,0.50
vand_v,1.00,2.00,0.50
vandi_b,1.00,2.00,0.50
vandn_v,1.00,2.00,0.50
vavg_b,1.00,2.00,0.50
vavg_bu,1.00,2.00,0.50
vavg_d,2.00,2.00,0.50
vavg_du,2.00,2.00,0.50
vavg_h,1.00,2.00,0.50
vavg_hu,1.00,2.00,0.50
vavg_w,1.00,2.00,0.50
vavg_wu,1.00,2.00,0.50
vavgr_b,1.00,2.00,0.50
vavgr_bu,1.00,2.00,0.50
vavgr_d,2.00,2.00,0.50
vavgr_du,2.00,2.00,0.50
vavgr_h,1.00,2.00,0.50
vavgr_hu,1.00,2.00,0.50
vavgr_w,1.00,2.00,0.50
vavgr_wu,1.00,2.00,0.50
vbitclr_b,2.00,2.00,0.50
vbitclr_d,2.00,2.00,0.50
vbitclr_h,2.00,2.00,0.50
vbitclr_w,2.00,2.00,0.50
vbitclri_b,2.00,2.00,0.50
vbitclri_d,2.00,2.00,0.50
vbitclri_h,2.00,2.00,0.50
vbitclri_w,2.00,2.00,0.50
vbitrev_b,2.00,2.00,0.50
vbitrev_d,2.00,2.00,0.50
vbitrev_h,2.00,2.00,0.50
vbitrev_w,2.00,2.00,0.50
vbitrevi_b,2.00,2.00,0.50
vbitrevi_d,2.00,2.00,0.50
vbitrevi_h,2.00,2.00,0.50
vbitrevi_w,2.00,2.00,0.50
vbitsel_v,1.00,2.00,0.50
vbitseli_b,1.00,2.00,0.50
vbitset_b,2.00,2.00,0.50
vbitset_d,2.00,2.00,0.50
vbitset_h,2.00,2.00,0.50
vbitset_w,2.00,2.00,0.50
vbitseti_b,2.00,2.00,0.50
vbitseti_d,2.00,2.00,0.50
vbitseti_h,2.00,2.00,0.50
vbitseti_w,2.00,2.00,0.50
vbsll_v,1.00,2.00,0.50
vbsrl_v,1.00,2.00,0.50
vclo_b,2.00,2.00,0.50
vclo_d,2.00,2.00,0.50
vclo_h,2.00,2.00,0.50
vclo_w,2.00,2.00,0.50
vclz_b,2.00,2.00,0.50
vclz_d,2.00,2.00,0.50
vclz_h,2.00,2.00,0.50
vclz_w,2.00,2.00,0.50
vdiv_b,29.00/32.50,0.06,17.00
vdiv_bu,29.00/36.00,0.06,18.00
vdiv_d,8.00/18.50,0.11,9.00
vdiv_du,8.00/18.50,0.11,9.00
vdiv_h,17.00/21.50,0.09,11.00
vdiv_hu,17.00/21.50,0.07,14.00
vdiv_w,11.00/17.50,0.09,11.50
vdiv_wu,11.00/17.50,0.07,15.00
vext2xv_d_b,3.00,2.00,0.50
vext2xv_d_h,3.00,2.00,0.50
vext2xv_d_w,3.00,2.00,0.50
vext2xv_du_bu,3.00,2.00,0.50
vext2xv_du_hu,3.00,2.00,0.50
vext2xv_du_wu,3.00,2.00,0.50
vext2xv_h_b,3.00,2.00,0.50
vext2xv_hu_bu,3.00,2.00,0.50
vext2xv_w_b,3.00,2.00,0.50
vext2xv_w_h,3.00,2.00,0.50
vext2xv_wu_bu,3.00,2.00,0.50
vext2xv_wu_hu,3.00,2.00,0.50
vexth_d_w,1.00,2.00,0.50
vexth_du_wu,1.00,2.00,0.50
vexth_h_b,1.00,2.00,0.50
vexth_hu_bu,1.00,2.00,0.50
vexth_q_d,1.00,2.00,0.50
vexth_qu_du,1.00,2.00,0.50
vexth_w_h,1.00,2.00,0.50
vexth_wu_hu,1.00,2.00,0.50
vextl_q_d,1.00,2.00,0.50
vextl_qu_du,1.00,2.00,0.50
vextrins_b,1.00,2.00,0.50
vextrins_d,1.00,2.00,0.50
vextrins_h,1.00,2.00,0.50
vextrins_w,1.00,2.00,0.50
vfadd_d,5.00,2.00,0.50
vfadd_s,5.00,2.00,0.50
vfclass_d,2.00,2.00,0.50
vfclass_s,2.00,2.00,0.50
vfcmp_caf_d,2.00,2.00,0.50
vfcmp_caf_s,2.00,2.00,0.50
vfcmp_ceq_d,2.00,2.00,0.50
vfcmp_ceq_s,2.00,2.00,0.50
vfcmp_cle_d,2.00,2.00,0.50
vfcmp_cle_s,2.00,2.00,0.50
vfcmp_clt_d,2.00,2.00,0.50
vfcmp_clt_s,2.00,2.00,0.50
vfcmp_cne_d,2.00,2.00,0.50
vfcmp_cne_s,2.00,2.00,0.50
vfcmp_cor_d,2.00,2.00,0.50
vfcmp_cor_s,2.00,2.00,0.50
vfcmp_cueq_d,2.00,2.00,0.50
vfcmp_cueq_s,2.00,2.00,0.50
vfcmp_cule_d,2.00,2.00,0.50
vfcmp_cule_s,2.00,2.00,0.50
vfcmp_cult_d,2.00,2.00,0.50
vfcmp_cult_s,2.00,2.00,0.50
vfcmp_cun_d,2.00,2.00,0.50
vfcmp_cun_s,2.00,2.00,0.50
vfcmp_cune_d,2.00,2.00,0.50
vfcmp_cune_s,2.00,2.00,0.50
vfcmp_saf_d,2.00,2.00,0.50
vfcmp_saf_s,2.00,2.00,0.50
vfcmp_seq_d,2.00,2.00,0.50
vfcmp_seq_s,2.00,2.00,0.50
vfcmp_sle_d,2.00,2.00,0.50
vfcmp_sle_s,2.00,2.00,0.50
vfcmp_slt_d,2.00,2.00,0.50
vfcmp_slt_s,2.00,2.00,0.50
vfcmp_sne_d,2.00,2.00,0.50
vfcmp_sne_s,2.00,2.00,0.50
vfcmp_sor_d,2.00,2.00,0.50
vfcmp_sor_s,2.00,2.00,0.50
vfcmp_sueq_d,2.00,2.00,0.50
vfcmp_sueq_s,2.00,2.00,0.50
vfcmp_sule_d,2.00,2.00,0.50
vfcmp_sule_s,2.00,2.00,0.50
vfcmp_sult_d,2.00,2.00,0.50
vfcmp_sult_s,2.00,2.00,0.50
vfcmp_sun_d,2.00,2.00,0.50
vfcmp_sun_s,2.00,2.00,0.50
vfcmp_sune_d,2.00,2.00,0.50
vfcmp_sune_s,2.00,2.00,0.50
vfcvt_h_s,3.00,1.00,1.00
vfcvt_s_d,3.00,1.00,1.00
vfcvth_d_s,3.00,1.00,1.00
vfcvth_s_h,3.00,1.00,1.00
vfcvtl_d_s,3.00,1.00,1.00
vfcvtl_s_h,3.00,1.00,1.00
vfdiv_d,8.00/16.50,0.08,12.50
vfdiv_s,11.00/19.50,0.13,7.50
vffint_d_l,4.00,2.00,0.50
vffint_d_lu,4.00,2.00,0.50
vffint_s_l,5.00,1.00,1.00
vffint_s_w,4.00,2.00,0.50
vffint_s_wu,4.00,2.00,0.50
vffinth_d_w,5.00,1.00,1.00
vffintl_d_w,5.00,1.00,1.00
vflogb_d,4.00,2.00,0.50
vflogb_s,4.00,2.00,0.50
vfmadd_d,5.00,2.00,0.50
vfmadd_s,5.00,2.00,0.50
vfmax_d,2.00,2.00,0.50
vfmax_s,2.00,2.00,0.50
vfmaxa_d,2.00,2.00,0.50
vfmaxa_s,2.00,2.00,0.50
vfmin_d,2.00,2.00,0.50
vfmin_s,2.00,2.00,0.50
vfmina_d,2.00,2.00,0.50
vfmina_s,2.00,2.00,0.50
vfmsub_d,5.00,2.00,0.50
vfmsub_s,5.00,2.00,0.50
vfmul_d,5.00,2.00,0.50
vfmul_s,5.00,2.00,0.50
vfnmadd_d,5.00,2.00,0.50
vfnmadd_s,5.00,2.00,0.50
vfnmsub_d,5.00,2.00,0.50
vfnmsub_s,5.00,2.00,0.50
vfrecip_d,23.00,0.08,12.00
vfrecip_s,27.00,0.14,7.00
vfrint_d,4.00,2.00,0.50
vfrint_s,4.00,2.00,0.50
vfrintrm_d,4.00,2.00,0.50
vfrintrm_s,4.00,2.00,0.50
vfrintrne_d,4.00,2.00,0.50
vfrintrne_s,4.00,2.00,0.50
vfrintrp_d,4.00,2.00,0.50
vfrintrp_s,4.00,2.00,0.50
vfrintrz_d,4.00,2.00,0.50
vfrintrz_s,4.00,2.00,0.50
vfrsqrt_d,15.00,0.04,27.50
vfrsqrt_s,21.00,0.11,9.00
vfrstp_b,2.00,2.00,0.50
vfrstp_h,2.00,2.00,0.50
vfrstpi_b,2.00,2.00,0.50
vfrstpi_h,2.00,2.00,0.50
vfsqrt_d,36.00,0.05,18.50
vfsqrt_s,27.00,0.17,6.00
vfsub_d,5.00,2.00,0.50
vfsub_s,5.00,2.00,0.50
vftint_l_d,4.00,2.00,0.50
vftint_lu_d,4.00,2.00,0.50
vftint_w_d,5.00,1.00,1.00
vftint_w_s,4.00,2.00,0.50
vftint_wu_s,4.00,2.00,0.50
vftinth_l_s,5.00,1.00,1.00
vftintl_l_s,5.00,1.00,1.00
vftintrm_l_d,4.00,2.00,0.50
vftintrm_w_d,5.00,1.00,1.00
vftintrm_w_s,4.00,2.00,0.50
vftintrmh_l_s,5.00,1.00,1.00
vftintrml_l_s,5.00,1.00,1.00
vftintrne_l_d,4.00,2.00,0.50
vftintrne_w_d,5.00,1.00,1.00
vftintrne_w_s,4.00,2.00,0.50
vftintrneh_l_s,5.00,1.00,1.00
vftintrnel_l_s,5.00,1.00,1.00
vftintrp_l_d,4.00,2.00,0.50
vftintrp_w_d,5.00,1.00,1.00
vftintrp_w_s,4.00,2.00,0.50
vftintrph_l_s,5.00,1.00,1.00
vftintrpl_l_s,5.00,1.00,1.00
vftintrz_l_d,4.00,2.00,0.50
vftintrz_lu_d,4.00,2.00,0.50
vftintrz_w_d,5.00,1.00,1.00
vftintrz_w_s,4.00,2.00,0.50
vftintrz_wu_s,4.00,2.00,0.50
vftintrzh_l_s,5.00,1.00,1.00
vftintrzl_l_s,5.00,1.00,1.00
vhaddw_d_w,2.00,2.00,0.50
vhaddw_du_wu,2.00,2.00,0.50
vhaddw_h_b,2.00,2.00,0.50
vhaddw_hu_bu,2.00,2.00,0.50
vhaddw_q_d,3.00,2.00,0.50
vhaddw_qu_du,3.00,2.00,0.50
vhaddw_w_h,2.00,2.00,0.50
vhaddw_wu_hu,2.00,2.00,0.50
vhsubw_d_w,2.00,2.00,0.50
vhsubw_du_wu,2.00,2.00,0.50
vhsubw_h_b,2.00,2.00,0.50
vhsubw_hu_bu,2.00,2.00,0.50
vhsubw_q_d,3.00,2.00,0.50
vhsubw_qu_du,3.00,2.00,0.50
vhsubw_w_h,2.00,2.00,0.50
vhsubw_wu_hu,2.00,2.00,0.50
vilvh_b,1.00,2.00,0.50
vilvh_d,1.00,2.00,0.50
vilvh_h,1.00,2.00,0.50
vilvh_w,1.00,2.00,0.50
vilvl_b,1.00,2.00,0.50
vilvl_d,1.00,2.00,0.50
vilvl_h,1.00,2.00,0.50
vilvl_w,1.00,2.00,0.50
vinsgr2vr_b,1.00,1.00,1.00
vinsgr2vr_d,1.00,1.00,1.00
vinsgr2vr_h,1.00,1.00,1.00
vinsgr2vr_w,1.00,1.00,1.00
vmadd_b,4.00,2.00,0.50
vmadd_d,4.00,2.00,0.50
vmadd_h,4.00,2.00,0.50
vmadd_w,4.00,2.00,0.50
vmaddwev_d_w,4.00,2.00,0.50
vmaddwev_d_wu,4.00,2.00,0.50
vmaddwev_d_wu_w,4.00,2.00,0.50
vmaddwev_h_b,4.00,2.00,0.50
vmaddwev_h_bu,4.00,2.00,0.50
vmaddwev_h_bu_b,4.00,2.00,0.50
vmaddwev_q_d,7.00,1.14,0.87
vmaddwev_q_du,7.00,1.14,0.88
vmaddwev_q_du_d,7.00,1.14,0.88
vmaddwev_w_h,4.00,2.00,0.50
vmaddwev_w_hu,4.00,2.00,0.50
vmaddwev_w_hu_h,4.00,2.00,0.50
vmaddwod_d_w,4.00,2.00,0.50
vmaddwod_d_wu,4.00,2.00,0.50
vmaddwod_d_wu_w,4.00,2.00,0.50
vmaddwod_h_b,4.00,2.00,0.50
vmaddwod_h_bu,4.00,2.00,0.50
vmaddwod_h_bu_b,4.00,2.00,0.50
vmaddwod_q_d,7.00,1.14,0.87
vmaddwod_q_du,7.00,1.14,0.87
vmaddwod_q_du_d,7.00,1.14,0.87
vmaddwod_w_h,4.00,2.00,0.50
vmaddwod_w_hu,4.00,2.00,0.50
vmaddwod_w_hu_h,4.00,2.00,0.50
vmax_b,1.00,2.00,0.50
vmax_bu,1.00,2.00,0.50
vmax_d,2.00,2.00,0.50
vmax_du,2.00,2.00,0.50
vmax_h,1.00,2.00,0.50
vmax_hu,1.00,2.00,0.50
vmax_w,1.00,2.00,0.50
vmax_wu,1.00,2.00,0.50
vmaxi_b,1.00,2.00,0.50
vmaxi_bu,1.00,2.00,0.50
vmaxi_d,2.00,2.00,0.50
vmaxi_du,2.00,2.00,0.50
vmaxi_h,1.00,2.00,0.50
vmaxi_hu,1.00,2.00,0.50
vmaxi_w,1.00,2.00,0.50
vmaxi_wu,1.00,2.00,0.50
vmin_b,1.00,2.00,0.50
vmin_bu,1.00,2.00,0.50
vmin_d,2.00,2.00,0.50
vmin_du,2.00,2.00,0.50
vmin_h,1.00,2.00,0.50
vmin_hu,1.00,2.00,0.50
vmin_w,1.00,2.00,0.50
vmin_wu,1.00,2.00,0.50
vmini_b,1.00,2.00,0.50
vmini_bu,1.00,2.00,0.50
vmini_d,2.00,2.00,0.50
vmini_du,2.00,2.00,0.50
vmini_h,1.00,2.00,0.50
vmini_hu,1.00,2.00,0.50
vmini_w,1.00,2.00,0.50
vmini_wu,1.00,2.00,0.50
vmod_b,29.00/33.00,0.06,17.00
vmod_bu,29.00/33.00,0.05,19.00
vmod_d,8.00/10.00,0.11,9.50
vmod_du,8.00/10.00,0.11,9.50
vmod_h,17.00/21.00,0.09,11.00
vmod_hu,17.00/21.00,0.07,15.00
vmod_w,11.00/15.00,0.08,12.00
vmod_wu,11.00/15.00,0.06,16.00
vmskgez_b,1.00,2.00,0.50
vmskltz_b,1.00,2.00,0.50
vmskltz_d,1.00,2.00,0.50
vmskltz_h,1.00,2.00,0.50
vmskltz_w,1.00,2.00,0.50
vmsknz_b,1.00,2.00,0.50
vmsub_b,4.00,2.00,0.50
vmsub_d,4.00,2.00,0.50
vmsub_h,4.00,2.00,0.50
vmsub_w,4.00,2.00,0.50
vmuh_b,4.00,2.00,0.50
vmuh_bu,4.00,2.00,0.50
vmuh_d,4.00,2.00,0.50
vmuh_du,4.00,2.00,0.50
vmuh_h,4.00,2.00,0.50
vmuh_hu,4.00,2.00,0.50
vmuh_w,4.00,2.00,0.50
vmuh_wu,4.00,2.00,0.50
vmul_b,4.00,2.00,0.50
vmul_d,4.00,2.00,0.50
vmul_h,4.00,2.00,0.50
vmul_w,4.00,2.00,0.50
vmulwev_d_w,4.00,2.00,0.50
vmulwev_d_wu,4.00,2.00,0.50
vmulwev_d_wu_w,4.00,2.00,0.50
vmulwev_h_b,4.00,2.00,0.50
vmulwev_h_bu,4.00,2.00,0.50
vmulwev_h_bu_b,4.00,2.00,0.50
vmulwev_q_d,7.00,2.00,0.50
vmulwev_q_du,7.00,2.00,0.50
vmulwev_q_du_d,7.00,2.00,0.50
vmulwev_w_h,4.00,2.00,0.50
vmulwev_w_hu,4.00,2.00,0.50
vmulwev_w_hu_h,4.00,2.00,0.50
vmulwod_d_w,4.00,2.00,0.50
vmulwod_d_wu,4.00,2.00,0.50
vmulwod_d_wu_w,4.00,2.00,0.50
vmulwod_h_b,4.00,2.00,0.50
vmulwod_h_bu,4.00,2.00,0.50
vmulwod_h_bu_b,4.00,2.00,0.50
vmulwod_q_d,7.00,2.00,0.50
vmulwod_q_du,7.00,2.00,0.50
vmulwod_q_du_d,7.00,2.00,0.50
vmulwod_w_h,4.00,2.00,0.50
vmulwod_w_hu,4.00,2.00,0.50
vmulwod_w_hu_h,4.00,2.00,0.50
vneg_b,1.00,2.00,0.50
vneg_d,1.00,2.00,0.50
vneg_h,1.00,2.00,0.50
vneg_w,1.00,2.00,0.50
vnor_v,1.00,2.00,0.50
vnori_b,1.00,2.00,0.50
vor_v,1.00,2.00,0.50
vori_b,1.00,2.00,0.50
vorn_v,1.00,2.00,0.50
vpackev_b,1.00,2.00,0.50
vpackev_d,1.00,2.00,0.50
vpackev_h,1.00,2.00,0.50
vpackev_w,1.00,2.00,0.50
vpackod_b,1.00,2.00,0.50
vpackod_d,1.00,2.00,0.50
vpackod_h,1.00,2.00,0.50
vpackod_w,1.00,2.00,0.50
vpcnt_b,2.00,2.00,0.50
vpcnt_d,2.00,2.00,0.50
vpcnt_h,2.00,2.00,0.50
vpcnt_w,2.00,2.00,0.50
vpermi_w,1.00,2.00,0.50
vpickev_b,1.00,2.00,0.50
vpickev_d,1.00,2.00,0.50
vpickev_h,1.00,2.00,0.50
vpickev_w,1.00,2.00,0.50
vpickod_b,1.00,2.00,0.50
vpickod_d,1.00,2.00,0.50
vpickod_h,1.00,2.00,0.50
vpickod_w,1.00,2.00,0.50
vpickve2gr_b,1.00,1.00,1.00
vpickve2gr_bu,1.00,1.00,1.00
vpickve2gr_d,1.00,1.00,1.00
vpickve2gr_du,1.00,1.00,1.00
vpickve2gr_h,1.00,1.00,1.00
vpickve2gr_hu,1.00,1.00,1.00
vpickve2gr_w,1.00,1.00,1.00
vpickve2gr_wu,1.00,1.00,1.00
vreplgr2vr_b,,1.00,1.00
vreplgr2vr_d,,1.00,1.00
vreplgr2vr_h,,1.00,1.00
vreplgr2vr_w,,1.00,1.00
vrepli_b,,2.00,0.50
vrepli_d,,2.00,0.50
vrepli_h,,2.00,0.50
vrepli_w,,2.00,0.50
vreplve_b,1.00,1.00,1.00
vreplve_d,1.00,1.00,1.00
vreplve_h,1.00,1.00,1.00
vreplve_w,1.00,1.00,1.00
vreplvei_b,1.00,2.00,0.50
vreplvei_d,1.00,2.00,0.50
vreplvei_h,1.00,2.00,0.50
vreplvei_w,1.00,2.00,0.50
vrotr_b,2.00,2.00,0.50
vrotr_d,2.00,2.00,0.50
vrotr_h,2.00,2.00,0.50
vrotr_w,2.00,2.00,0.50
vrotri_b,2.00,2.00,0.50
vrotri_d,2.00,2.00,0.50
vrotri_h,2.00,2.00,0.50
vrotri_w,2.00,2.00,0.50
vsadd_b,1.00,2.00,0.50
vsadd_bu,1.00,2.00,0.50
vsadd_d,1.00,2.00,0.50
vsadd_du,1.00,2.00,0.50
vsadd_h,1.00,2.00,0.50
vsadd_hu,1.00,2.00,0.50
